#{"t_start": 1624405249.9610927, "env_id": null}
r,l,t
-18.064362,200,0.0992
-31.579455,200,0.149296
-23.975011,200,0.197903
-21.876068,200,0.244559
-25.356131,200,0.287185
-28.341829,200,0.330371
-26.567179,200,0.370513
-19.679757,200,0.412706
-17.54611,200,0.450866
-31.830912,200,0.491572
2.669553,200,0.532242
-8.66315,200,0.575363
-21.565741,200,0.615539
-15.92326,200,0.6577
-19.407917,200,0.699364
-14.229609,200,0.740991
-15.569108,200,0.782158
-26.536315,200,0.823326
-11.277797,200,0.863503
-23.876223,200,0.905167
-29.148934,200,0.946335
-12.630203,200,0.986015
-30.567135,200,1.025696
-12.731111,200,1.069377
-30.490481,200,1.110546
-30.960268,200,1.151252
4.789344,200,1.192386
-33.597009,200,1.232067
-31.921444,200,1.271747
-28.970368,200,1.312419
-30.163558,200,1.358549
-18.942125,200,1.400708
-13.038393,200,1.443396
-30.474864,200,1.484037
-20.122841,200,1.524709
-12.673213,200,1.566361
4.737438,200,1.609017
-28.469879,200,1.654153
-26.708708,200,1.698793
-31.157311,200,1.74641
-14.208668,200,1.789941
-33.140994,200,1.83111
-10.795233,200,1.872247
-19.604217,200,1.91391
-17.131334,200,1.956071
-31.404262,200,1.997735
-9.436452,200,2.037415
-30.854471,200,2.078584
-23.038821,200,2.119256
-21.225757,200,2.158937
-26.284517,200,2.270537
-12.943696,200,3.434414
38.889363,200,4.571468
-14.834725,200,5.795984
12.328079,200,6.931894
29.427012,200,8.074993
-14.172139,200,9.242905
-13.134284,200,10.43328
-14.843203,200,11.740633
-12.169081,200,12.953521
36.128516,200,14.120911
41.178506,200,15.275112
-13.736996,200,16.424252
36.907866,200,17.582057
-13.744023,200,18.724671
40.669822,200,20.05049
38.167854,200,21.247568
42.111355,200,22.497994
-8.820682,200,23.73106
-12.934763,200,24.941752
-13.838778,200,26.148237
-9.320423,200,27.293015
-13.373526,200,28.488881
-14.381138,200,29.659948
-15.111449,200,30.899316
-13.902107,200,32.082196
42.448016,200,33.225571
-13.596146,200,34.43632
-11.034223,200,35.662928
-12.104041,200,36.861463
-12.843904,200,38.128753
-13.780199,200,39.312402
-13.363306,200,40.466257
-14.751858,200,41.622579
-13.12629,200,42.778565
-12.185067,200,43.89046
-13.304734,200,44.988152
52.769118,200,46.104163
-11.888899,200,47.291361
-13.528397,200,48.430186
-12.801519,200,49.666266
-13.90674,200,50.850691
-13.724147,200,52.021935
51.254356,200,53.182458
-13.568882,200,54.329232
-13.968645,200,55.454645
41.832207,200,56.718959
-13.316958,200,58.048146
-13.690549,200,59.327316
-13.974951,200,60.697279
-13.312657,200,62.012682
-13.909867,200,63.178733
-12.206494,200,64.308219
-13.879204,200,65.437675
-12.876633,200,66.549716
-8.548778,200,67.66646
-7.734063,200,68.78531
-14.491135,200,69.905698
-13.150957,200,71.049483
-8.536117,200,72.178878
33.997258,200,73.298963
-14.484848,200,74.415468
36.546129,200,75.528006
28.691741,200,76.651951
-14.691662,200,77.793813
35.332429,200,79.019904
-13.750077,200,80.349522
-12.104041,200,81.5221
-12.859414,200,82.828754
36.34631,200,83.994644
-14.138808,200,85.164849
-14.833109,200,86.354419
36.764346,200,87.656882
-7.159012,200,88.895902
-13.474004,200,90.115964
-12.708865,200,91.54396
-4.395084,200,92.769883
-13.006707,200,93.951057
39.084009,200,95.11617
-10.145006,200,96.233379
-13.826983,200,97.355341
-11.547256,200,98.504289
-12.101542,200,99.62298
35.344596,200,100.730172
34.868243,200,101.885875
-12.152916,200,102.993409
30.99803,200,104.111462
32.087127,200,105.221464
-13.620652,200,106.33909
29.406578,200,107.450636
30.100937,200,108.665051
29.585396,200,109.861449
-14.003164,200,110.986387
29.562842,200,112.181128
-13.797569,200,113.340785
-13.488287,200,114.530427
32.186868,200,115.69555
39.344146,200,116.887439
30.652779,200,118.157168
40.463334,200,119.321017
30.734302,200,120.479187
-13.715198,200,121.721458
-13.09696,200,122.878669
-13.670092,200,124.058522
30.222536,200,125.264948
-13.676181,200,126.527166
40.591879,200,127.654625
30.269404,200,128.818794
-14.274983,200,130.113517
40.594555,200,131.403638
-14.413447,200,132.556313
32.463177,200,133.700205
34.317835,200,134.879159
-13.950414,200,136.058349
-14.382011,200,137.350342
43.97612,200,138.60969
-12.044309,200,139.91081
43.831807,200,141.222239
32.675852,200,142.415385
-14.877336,200,143.612469
-12.720768,200,144.775392
32.3787,200,145.970234
-12.486826,200,147.110046
35.161087,200,148.239083
-13.713285,200,149.369471
33.173177,200,150.510649
31.214789,200,151.622245
35.956968,200,152.735947
-13.835988,200,153.851954
-12.682612,200,154.962219
51.394152,200,156.079762
46.856006,200,157.194278
-14.644985,200,158.305851
49.844771,200,159.435356
-13.72473,200,160.54016
52.286074,200,161.700795
54.944695,200,162.814815
59.859998,200,163.929245
50.747133,200,165.047787
52.673723,200,166.164782
-13.30357,200,167.273346
-14.126812,200,168.386381
53.033658,200,169.52569
46.90854,200,170.759741
53.306863,200,172.00173
-14.549326,200,173.264055
50.910505,200,174.515467
52.120963,200,175.768367
-12.653009,200,176.932589
-13.968463,200,178.072963
-13.91006,200,179.216743
51.893614,200,180.384368
52.116895,200,181.594893
-14.418031,200,182.819939
-14.256972,200,184.009847
-13.928771,200,185.249156
57.099405,200,186.422126
51.028953,200,187.593187
51.519992,200,188.737803
-14.114692,200,189.846731
48.214105,200,190.957959
-12.647081,200,192.078427
54.959307,200,193.253129
52.104613,200,194.398441
60.740392,200,195.539681
52.780616,200,196.690404
50.31861,200,197.808392
50.906819,200,198.915456
52.1882,200,200.026004
61.079278,200,201.131096
52.843198,200,202.255964
54.037439,200,203.380888
-14.234932,200,204.496448
-13.861516,200,205.614467
-13.93549,200,206.736392
65.359131,200,207.886236
-14.03581,200,209.003821
48.308191,200,210.116666
51.328034,200,211.236142
51.735623,200,212.355618
52.715621,200,213.524198
45.340121,200,214.67393
53.537576,200,215.890622
-14.345144,200,217.03861
-12.149255,200,218.176405
-13.706692,200,219.303485
50.79814,200,220.410561
57.269592,200,221.545909
60.483251,200,222.71366
-13.945494,200,223.829831
-12.253372,200,224.991875
-13.015469,200,226.12028
-14.618957,200,227.272665
-12.470951,200,228.404253
51.366114,200,229.616416
54.575462,200,230.861128
50.725207,200,232.0679
-2.89267,200,233.215133
51.959859,200,234.348002
67.679637,200,235.514597
65.891594,200,236.667898
-13.977433,200,237.829039
-2.433823,200,239.023906
54.076469,200,240.296984
53.745733,200,241.594471
49.889311,200,242.826143
51.066905,200,244.084499
63.828366,200,245.360893
-12.146497,200,246.553281
-14.003207,200,247.759558
51.00404,200,248.960241
52.140475,200,250.173466
52.25706,200,251.446207
-12.573107,200,252.666194
60.642757,200,253.803612
53.90002,200,255.054939
47.076815,200,256.244351
55.826184,200,257.473972
-14.130179,200,258.634583
-14.662857,200,259.834752
-12.065689,200,260.94908
-14.664114,200,262.053179
45.978712,200,263.166703
-12.221516,200,264.270307
48.382445,200,265.402679
-14.505651,200,266.650013
64.461085,200,267.760099
-12.389951,200,268.970309
-13.330112,200,270.077917
49.330036,200,271.184992
56.297119,200,272.298191
-13.203941,200,273.587688
-13.126626,200,274.894728
-13.155614,200,276.213402
50.57986,200,277.520302
-14.223009,200,278.830574
-12.023152,200,280.153438
-13.576928,200,281.484985
50.207536,200,282.831107
-13.00062,200,284.150929
51.250625,200,285.465387
50.801933,200,286.607345
62.604591,200,287.735259
52.504685,200,288.866804
52.732545,200,290.00208
52.079599,200,291.126339
-12.598754,200,292.230483
48.816212,200,293.371783
48.000444,200,294.496157
55.274391,200,295.638133
59.739052,200,296.751128
67.680209,200,297.861676
-14.359489,200,299.006943
-13.718672,200,300.128403
54.824441,200,301.242919
-12.104041,200,302.374657
50.565267,200,303.501078
71.048282,200,304.612617
-13.878279,200,305.727177
-14.068447,200,306.843181
-14.370279,200,307.963035
51.247147,200,309.068624
57.416388,200,310.231892
-14.328666,200,311.467398
-13.749015,200,312.636512
-13.950086,200,313.812005
-14.375643,200,314.931512
-12.029521,200,316.148268
-12.11199,200,317.313272
63.804431,200,318.626189
51.154756,200,319.833082
-14.527843,200,320.98232
-13.36754,200,322.148914
52.416409,200,323.288758
47.835395,200,324.392801
-14.520722,200,325.502565
-14.810634,200,326.606878
-14.838137,200,327.699597
-14.441323,200,328.823013
-13.508336,200,329.926617
-13.985019,200,331.036199
53.710533,200,332.143602
-14.075211,200,333.247959
62.850313,200,334.357019
-14.928974,200,335.465755
64.191055,200,336.580076
50.030917,200,337.699114
-12.183564,200,338.843481
62.069988,200,340.072318
52.263077,200,341.306925
-13.93499,200,342.501734
54.441362,200,343.639066
2.925228,200,344.772926
-12.248357,200,345.916215
-12.175125,200,347.062342
55.604612,200,348.261178
-9.956147,200,349.423374
53.289471,200,350.772003
-13.741579,200,352.147943
52.800669,200,353.422432
-13.459659,200,354.546366
65.662828,200,355.708004
51.942475,200,356.951958
51.222316,200,358.192072
51.22197,200,359.443484
-14.667677,200,360.758709
-13.274067,200,361.912278
-12.771577,200,363.217868
-14.235864,200,364.43346
49.169036,200,365.671455
52.7117,200,366.90479
45.992488,200,368.22568
67.543545,200,369.493449
57.688017,200,370.682862
58.73151,200,371.873951
-13.700181,200,373.111305
64.983694,200,374.379103
59.425639,200,375.653108
55.043731,200,376.90204
-13.597032,200,378.297382
61.332244,200,379.521513
-14.573234,200,380.704973
47.608253,200,381.915207
51.251459,200,383.147908
51.013363,200,384.39301
43.708323,200,385.633073
64.019704,200,386.801929
-14.745959,200,388.08627
-13.767779,200,389.299923
-12.471762,200,390.476743
-13.625979,200,391.819866
53.96151,200,393.013498
-13.931799,200,394.318991
62.437148,200,395.513819
63.751523,200,396.709306
-12.188375,200,397.982543
52.545735,200,399.190189
54.902957,200,400.431304
52.79066,200,401.653205
49.341555,200,402.925449
-13.945812,200,404.165008
86.329409,200,405.330612
89.737904,200,406.498976
62.181878,200,407.687397
-13.900443,200,409.131258
52.110299,200,410.573554
-12.352901,200,412.202918
-12.415497,200,413.727131
61.483049,200,415.1204
96.818595,200,416.317445
62.993194,200,417.469248
52.914322,200,418.593654
-13.731692,200,419.777114
56.768015,200,420.961972
-12.325633,200,422.169379
53.714628,200,423.465928
-13.56339,200,424.739295
58.806317,200,426.097833
49.544303,200,427.35557
-12.580578,200,428.59426
-13.680202,200,429.76458
-14.114538,200,430.946178
56.58608,200,432.1855
66.842689,200,433.387989
-13.672357,200,434.563708
-13.171578,200,435.715171
