,IS Policy,IS Budget,Optimizer,EVD Pre,EVD Post,Theta,Info,NFEV,Duration (s)
0,Uniform,1,L-BFGS-B-IS,453.0186215,13.82679361,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1. -1. -1.
 -1.  1.  1.  1. -1.  1.  1.]","      fun: 94.29650972665442
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.37213824e-04, -2.60517232e-01, -2.81396565e+01, -1.74936759e-01,
       -3.41163944e-05, -2.30854143e-01, -5.63400797e-01,  1.44059514e-01,
       -1.02675904e-01, -8.20580370e-03, -1.17146693e-01,  4.12201378e+00,
        1.68128703e+00,  3.81617729e+00, -8.46346633e-02,  5.69880840e-02,
        3.34367058e+00,  5.39652697e-01,  3.03452879e+00, -2.04218378e-02,
       -1.06626767e-02, -6.39538754e-02,  8.30699426e-01, -2.12966427e-01,
       -7.75230765e-02])
  message: 'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
     nfev: 50
      nit: 17
     njev: 50
   status: 0
  success: True
        x: array([ 1.,  1.,  1.,  1.,  1.,  1.,  1., -1.,  1.,  1.,  1., -1., -1.,
       -1.,  1., -1., -1., -1., -1.,  1.,  1.,  1., -1.,  1.,  1.])",50,128.1411484
1,Uniform,1,L-BFGS-B-2point,454.7679966,12.32968718,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.
 -1.  1.  1.  1. -1.  1.  1.]","      fun: 94.27603439391658
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.37329102e-04, -2.60518074e-01, -2.81396618e+01, -1.74938202e-01,
       -3.43322754e-05, -2.30916977e-01, -5.85645676e-01,  4.87308502e-02,
       -1.14337921e-01, -8.21304321e-03, -1.95089340e-01,  2.35481644e+00,
        7.22782135e-01,  2.22922134e+00, -9.82780457e-02, -1.02376938e-02,
        1.92950439e+00,  6.79588318e-02,  1.63532257e+00, -5.85670471e-02,
       -1.07259750e-02, -9.00459290e-02,  6.55968666e-01, -2.48417854e-01,
       -7.75995255e-02])
  message: 'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
     nfev: 156
      nit: 4
     njev: 6
   status: 0
  success: True
        x: array([ 1.,  1.,  1.,  1.,  1.,  1.,  1., -1.,  1.,  1.,  1., -1., -1.,
       -1.,  1.,  1., -1., -1., -1.,  1.,  1.,  1., -1.,  1.,  1.])",156,39.635083
2,Uniform,1,CMA-ES,426.2243238,2.741831909,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.
 -1.  1.  1.  1. -1.  1.  1.]","(6_w,13)-aCMA-ES (mu_w=4.0,w_1=38%) in dimension 25 (seed=513031, Tue Jun 22 17:53:07 2021)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     13 1.077613966048548e+02 1.0e+00 4.70e-01  5e-01  5e-01 0:00.0
    2     26 1.057807067913544e+02 1.1e+00 4.73e-01  5e-01  5e-01 0:00.0
    3     39 1.048467155655559e+02 1.1e+00 4.57e-01  4e-01  5e-01 0:00.0
  100   1300 9.549066727195023e+01 4.3e+00 1.43e-01  5e-02  2e-01 0:00.9
  200   2600 9.446120158090653e+01 9.2e+00 4.58e-02  9e-03  7e-02 0:01.9
  300   3900 9.429505163400739e+01 2.1e+01 1.54e-02  2e-03  3e-02 0:02.8
  400   5200 9.428323954627710e+01 5.3e+01 1.19e-02  1e-03  5e-02 0:03.7
  500   6500 9.427625328894868e+01 7.5e+01 1.33e-03  9e-05  6e-03 0:04.6
  600   7800 9.427624069500641e+01 6.9e+01 3.10e-04  2e-05  1e-03 0:05.5
  700   9100 9.427611985385425e+01 6.0e+02 2.82e-03  1e-04  7e-02 0:06.4
  800  10400 9.427609020239379e+01 6.4e+02 9.58e-05  3e-06  2e-03 0:07.4
  900  11700 9.427608799527485e+01 6.1e+02 6.43e-04  2e-05  1e-02 0:08.3
 1000  13000 9.427603484468969e+01 1.6e+03 6.42e-04  2e-05  2e-02 0:09.2
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
 1100  14300 9.427603439401541e+01 1.3e+03 1.17e-05  2e-07  3e-04 0:10.1
 1186  15418 9.427603439391665e+01 1.2e+03 2.96e-07  5e-09  6e-06 0:10.9
termination on tolfun=1e-11 (Tue Jun 22 17:53:21 2021)
final/bestever f-value = 9.427603e+01 9.427603e+01
incumbent solution: [ 1.  1.  1.  1.  1.  1.  1. -1. ...]
std deviations: [2.44270763e-06 5.46803175e-08 5.28530786e-09 6.42402409e-08
 5.90383495e-06 5.77412131e-08 3.72433165e-08 1.22893055e-07 ...]",15418,48.351428
3,Uniform,10,L-BFGS-B-IS,418.2029802,4.07282933,"[ 7.97274592e-04  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.98192863e-04  1.00000000e+00  1.00000000e+00 -1.00000000e+00
 -2.58236353e-01  4.64632399e-02 -1.00000000e+00 -1.00000000e+00
 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  5.38007026e-02 -1.00000000e+00 -1.00000000e+00 -4.16304444e-01
  4.44304181e-01]","      fun: 205.3955266646592
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.37181333e-04, -2.60463287e-01, -2.81386321e+01, -1.74909211e-01,
       -3.41016645e-05, -2.30019209e-01, -2.54305187e-01,  1.28621888e+00,
        4.53108412e-02, -7.99556700e-03,  3.61222130e-01,  6.25858231e+00,
        9.74066385e-01,  7.43605260e+00,  2.00150561e-01,  3.30069057e-01,
        5.93804770e+00,  1.07790543e+00,  4.90166410e+00,  4.60137095e-01,
       -9.29420779e-03,  3.56570720e-01,  2.59796196e+00,  6.90254214e-02,
       -7.64639966e-02])
  message: 'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
     nfev: 24
      nit: 5
     njev: 24
   status: 0
  success: True
        x: array([ 7.97274592e-04,  1.00000000e+00,  1.00000000e+00,  1.00000000e+00,
        1.98192863e-04,  1.00000000e+00,  1.00000000e+00, -1.00000000e+00,
       -2.58236353e-01,  4.64632399e-02, -1.00000000e+00, -1.00000000e+00,
       -1.00000000e+00, -1.00000000e+00, -1.00000000e+00, -1.00000000e+00,
       -1.00000000e+00, -1.00000000e+00, -1.00000000e+00, -1.00000000e+00,
        5.38007026e-02, -1.00000000e+00, -1.00000000e+00, -4.16304444e-01,
        4.44304181e-01])",24,41.714026
4,Uniform,10,L-BFGS-B-2point,508.0617336,9.592870768,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.  1. -1. -1.  1.  1.]","      fun: 205.08774914829263
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.37329102e-04, -2.60467529e-01, -2.81386147e+01, -1.74913406e-01,
       -3.43322754e-05, -2.30518341e-01, -4.64784622e-01,  5.00696182e-01,
       -5.58815002e-02, -8.08525085e-03, -4.46319580e-04,  2.53840637e+00,
        1.49688721e-01,  2.66614532e+00,  4.52995300e-02,  1.22398376e-01,
        2.36890221e+00,  4.16126251e-02,  1.74601364e+00,  1.51103973e-01,
       -9.45091248e-03,  2.66952515e-01,  1.96889496e+00, -1.17193222e-01,
       -7.71751404e-02])
  message: 'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
     nfev: 1014
      nit: 15
     njev: 39
   status: 0
  success: True
        x: array([ 1.,  1.,  1.,  1.,  1.,  1.,  1., -1.,  1.,  1.,  1., -1., -1.,
       -1., -1., -1., -1., -1., -1., -1.,  1., -1., -1.,  1.,  1.])",1014,20.083202
5,Uniform,10,CMA-ES,504.7943152,5.842744066,"[ 1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.  1. -1. -1.  1.  1.]","(6_w,13)-aCMA-ES (mu_w=4.0,w_1=38%) in dimension 25 (seed=474192, Tue Jun 22 18:19:50 2021)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     13 2.228833547113691e+02 1.0e+00 4.66e-01  5e-01  5e-01 0:00.1
    2     26 2.196314445049422e+02 1.1e+00 4.51e-01  4e-01  5e-01 0:00.2
    3     39 2.186930507913077e+02 1.1e+00 4.37e-01  4e-01  4e-01 0:00.3
   37    481 2.099367632172571e+02 2.0e+00 3.76e-01  3e-01  4e-01 0:03.3
   84   1092 2.073793272532811e+02 3.5e+00 2.05e-01  9e-02  2e-01 0:07.4
  100   1300 2.065903867832144e+02 3.9e+00 1.54e-01  6e-02  2e-01 0:08.8
  169   2197 2.056440250549045e+02 7.3e+00 7.56e-02  2e-02  1e-01 0:14.8
  200   2600 2.053417889895469e+02 1.1e+01 8.76e-02  2e-02  1e-01 0:17.6
  293   3809 2.051088697278400e+02 1.7e+01 3.44e-02  5e-03  7e-02 0:25.6
  300   3900 2.051053234096206e+02 1.8e+01 2.65e-02  4e-03  5e-02 0:26.2
  400   5200 2.050907432123747e+02 2.5e+01 6.84e-03  7e-04  1e-02 0:35.0
  500   6500 2.050896061944192e+02 5.3e+01 3.91e-03  3e-04  1e-02 0:43.7
  600   7800 2.050880068259177e+02 1.5e+02 1.06e-03  6e-05  8e-03 0:52.4
  700   9100 2.050879973825469e+02 1.9e+02 4.55e-04  2e-05  3e-03 1:01.1
  800  10400 2.050878334233280e+02 7.9e+02 5.72e-03  2e-04  1e-01 1:09.8
  900  11700 2.050877594515575e+02 7.3e+02 2.02e-04  6e-06  4e-03 1:18.6
 1000  13000 2.050877555106068e+02 6.9e+02 9.38e-04  2e-05  1e-02 1:27.2
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
 1100  14300 2.050877491500051e+02 8.8e+02 5.14e-05  1e-06  9e-04 1:35.9
 1200  15600 2.050877491482929e+02 9.2e+02 6.61e-07  1e-08  9e-06 1:44.6
 1226  15938 2.050877491482927e+02 9.6e+02 2.11e-07  3e-09  3e-06 1:46.9
termination on tolfun=1e-11 (Tue Jun 22 18:21:40 2021)
final/bestever f-value = 2.050877e+02 2.050877e+02
incumbent solution: [ 1.  1.  1.  1.  1.  1.  1. -1. ...]
std deviations: [1.82930675e-06 3.54091018e-08 3.29967973e-09 4.20142125e-08
 2.89947325e-06 3.82162739e-08 2.74777005e-08 2.69247906e-08 ...]",15938,123.581527
6,Uniform,50,L-BFGS-B-IS,463.6613064,4.624634643,"[ 1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1.]","      fun: 236.8051173582108
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.16197911e-04, -2.39736098e-01, -2.77006045e+01,  5.27476810e-01,
        7.59828441e-04, -1.51534801e-01,  7.69610956e-01,  3.49955611e+00,
        1.34752716e+00,  1.37113240e-01,  9.51417112e-01,  4.53079559e+00,
        6.97204831e-01,  5.66391333e+00,  1.47883945e+00,  6.97545183e-01,
        4.31486854e+00,  3.52874705e-01,  4.27911615e+00,  2.05592316e+00,
        9.65253836e-03,  4.76015160e-01,  2.90135307e+00,  1.21510102e+00,
        1.74910466e-01])
  message: 'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
     nfev: 53
      nit: 11
     njev: 53
   status: 0
  success: True
        x: array([ 1.,  1.,  1., -1., -1.,  1., -1., -1., -1., -1., -1., -1., -1.,
       -1., -1., -1., -1., -1., -1., -1., -1., -1., -1., -1., -1.])",53,297.887605
7,Uniform,50,L-BFGS-B-2point,396.362803,199.4585564,"[ 0.02016237  1.          1.         -1.         -0.03436938  1.
  1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.77761195
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]","      fun: 236.49670651357138
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.22070312e-04, -2.41615295e-01, -2.77432785e+01,  5.80081940e-02,
        2.21252441e-04, -1.75075531e-01, -5.00869751e-03,  1.75108147e+00,
        7.31729507e-01,  5.78632355e-02,  1.16327286e-01,  1.58540344e+00,
        1.41263962e-01,  1.79277992e+00,  7.30756760e-01,  1.27582550e-01,
        1.46664047e+00, -3.81469727e-06,  1.06789398e+00,  1.00600052e+00,
        7.01522827e-03,  1.45174026e-01,  1.09001923e+00,  4.69816208e-01,
        4.45117950e-02])
  message: 'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
     nfev: 962
      nit: 33
     njev: 37
   status: 0
  success: True
        x: array([ 0.02016237,  1.        ,  1.        , -1.        , -0.03436938,
        1.        ,  1.        , -1.        , -1.        , -1.        ,
       -1.        , -1.        , -1.        , -1.        , -1.        ,
       -1.        , -1.        ,  0.77761195, -1.        , -1.        ,
       -1.        , -1.        , -1.        , -1.        , -1.        ])",962,42.409171
8,Uniform,50,CMA-ES,410.2758757,211.1633605,"[ 1.          1.          1.         -1.         -1.          1.
  1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.77747085
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]","(6_w,13)-aCMA-ES (mu_w=4.0,w_1=38%) in dimension 25 (seed=446230, Tue Jun 22 18:52:37 2021)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     13 2.539741823003585e+02 1.0e+00 4.70e-01  5e-01  5e-01 0:00.4
    2     26 2.503041825733043e+02 1.1e+00 4.59e-01  5e-01  5e-01 0:00.8
    3     39 2.489759192895584e+02 1.1e+00 4.48e-01  4e-01  5e-01 0:01.2
   11    143 2.446142759025224e+02 1.4e+00 5.11e-01  5e-01  5e-01 0:04.4
   22    286 2.441190745053441e+02 1.7e+00 5.46e-01  5e-01  6e-01 0:08.8
   35    455 2.438353092153889e+02 1.9e+00 5.47e-01  4e-01  6e-01 0:13.9
   51    663 2.421658624726688e+02 2.3e+00 4.75e-01  3e-01  5e-01 0:20.2
   69    897 2.406115404307639e+02 2.7e+00 3.32e-01  2e-01  4e-01 0:27.3
   90   1170 2.387303752167951e+02 3.4e+00 2.93e-01  1e-01  3e-01 0:35.7
  100   1300 2.383544601690603e+02 3.6e+00 2.04e-01  8e-02  2e-01 0:39.7
  126   1638 2.372511327071802e+02 4.8e+00 1.15e-01  4e-02  1e-01 0:50.0
  154   2002 2.368686890305653e+02 6.2e+00 7.46e-02  2e-02  9e-02 1:01.0
  185   2405 2.367279354866456e+02 7.0e+00 4.10e-02  1e-02  5e-02 1:13.2
  200   2600 2.366924380787433e+02 7.3e+00 3.27e-02  7e-03  4e-02 1:19.2
  236   3068 2.365880592608184e+02 1.1e+01 3.85e-02  7e-03  7e-02 1:33.4
  275   3575 2.365254690707590e+02 1.5e+01 2.76e-02  4e-03  6e-02 1:48.8
  300   3900 2.365151049537002e+02 1.7e+01 1.91e-02  3e-03  4e-02 1:58.6
  344   4472 2.365039770447686e+02 2.2e+01 1.04e-02  1e-03  2e-02 2:15.9
  390   5070 2.364992325857443e+02 3.7e+01 7.36e-03  8e-04  2e-02 2:34.1
  400   5200 2.364986569437465e+02 3.8e+01 5.31e-03  5e-04  2e-02 2:38.1
  451   5863 2.364970321594024e+02 4.6e+01 6.95e-03  6e-04  2e-02 2:58.3
  500   6500 2.364966855773341e+02 5.0e+01 1.38e-03  1e-04  4e-03 3:17.7
  556   7228 2.364966676244744e+02 5.4e+01 4.68e-04  3e-05  1e-03 3:39.8
  600   7800 2.364966643209791e+02 5.5e+01 3.15e-04  2e-05  9e-04 3:57.2
  661   8593 2.364966411141428e+02 1.3e+02 1.38e-03  8e-05  9e-03 4:21.4
  700   9100 2.364965391187335e+02 2.7e+02 3.23e-03  2e-04  4e-02 4:36.8
  767   9971 2.364964252475858e+02 3.8e+02 7.65e-04  3e-05  1e-02 5:03.2
  800  10400 2.364964221919301e+02 3.7e+02 3.48e-04  1e-05  5e-03 5:16.2
  872  11336 2.364964087825059e+02 3.9e+02 1.43e-03  5e-05  2e-02 5:44.5
  900  11700 2.364963836292326e+02 4.7e+02 2.31e-03  8e-05  3e-02 5:55.6
  977  12701 2.364963758964786e+02 4.6e+02 1.05e-04  3e-06  1e-03 6:25.9
 1000  13000 2.364963758780303e+02 4.9e+02 4.60e-05  1e-06  6e-04 6:35.1
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
 1082  14066 2.364963758743086e+02 5.0e+02 2.21e-06  5e-08  3e-05 7:07.4
 1100  14300 2.364963758743042e+02 4.9e+02 1.12e-06  3e-08  1e-05 7:14.5
 1144  14872 2.364963758743031e+02 5.0e+02 1.87e-07  4e-09  2e-06 7:32.0
termination on tolfun=1e-11 (Tue Jun 22 19:00:12 2021)
final/bestever f-value = 2.364964e+02 2.364964e+02
incumbent solution: [ 1.  1.  1. -1. -1.  1.  1. -1. ...]
std deviations: [1.93542465e-06 4.54414337e-08 4.22285053e-09 8.69158347e-08
 1.40934647e-06 5.30321299e-08 2.73760832e-07 1.67649580e-08 ...]",14872,468.341508
9,Uniform,1,L-BFGS-B-IS,439.3863763,5.774643935,"[ 1.76381532e-03  1.00000000e+00  1.00000000e+00  1.00000000e+00
  4.38547989e-04  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.05884829e-01  1.00000000e+00 -1.00000000e+00
 -1.00000000e+00 -8.16668036e-01  1.00000000e+00  1.00000000e+00
 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00  1.00000000e+00
  1.47136019e-01  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00]","      fun: 76.72433738415279
 hess_inv: <25x25 LbfgsInvHessProduct with dtype=float64>
      jac: array([-1.37228930e-04, -2.60523668e-01, -2.81397209e+01, -1.74939473e-01,
       -3.41200525e-05, -2.31296579e-01, -6.76002116e-01, -2.59136064e-01,
       -1.51134105e-01, -8.23808572e-03, -5.44297423e-01,  6.77492429e-01,
        5.95236000e+00,  6.35386708e-02, -1.39223773e-01, -3.83719024e-01,
        4.68434238e-01,  8.31340596e+00,  4.53498445e-01, -1.64665969e-01,
       -1.14475242e-02, -3.09244742e-01, -3.69049739e-01, -3.37723967e-01,
       -7.78023236e-02])
  message: 'ABNORMAL_TERMINATION_IN_LNSRCH'
     nfev: 31
      nit: 9
     njev: 31
   status: 2
  success: False
        x: array([ 1.76381532e-03,  1.00000000e+00,  1.00000000e+00,  1.00000000e+00,
        4.38547989e-04,  1.00000000e+00,  1.00000000e+00,  1.00000000e+00,
        1.00000000e+00,  1.05884829e-01,  1.00000000e+00, -1.00000000e+00,
       -1.00000000e+00, -8.16668036e-01,  1.00000000e+00,  1.00000000e+00,
       -1.00000000e+00, -1.00000000e+00, -1.00000000e+00,  1.00000000e+00,
        1.47136019e-01,  1.00000000e+00,  1.00000000e+00,  1.00000000e+00,
        1.00000000e+00])",31,16.147186
